 v___2_n_10_class_3_class_7_ 10-13.scl | Carl Lumma, 10 out of 13-tET MOS, TL 21-12-1999
 v___2_n_10_class_3_class_7_ golden_10.scl | Golden version of Rapoport's Major 10 out of 13
 v___2_n_10_class_3_class_7_ phi_10.scl | Pythagorean scale with Phi as fifth
 v___2_n_11_class_1_class10_ 11-23.scl | 11 out of 23-tET, Dan Stearns
 v___2_n_11_class_2_class_9_ vries6-31.scl | Leo de Vries 6/31 TTT used in "For 31-tone organ" (1995)
 v___2_n_11_class_3_class_8_ keenan3eb.scl | Chain of 11 equal beating minor thirds, 6/5=3/2 same
 v___2_n_11_class_3_class_8_ keenan3eb2.scl | Chain of 11 equal beating minor thirds, 6/5=3/2 opposite
 v___2_n_11_class_3_class_8_ keenan3.scl | Chain of 1/6 kleisma tempered 6/5s, 10 tetrads, Dave Keenan, 30-Jun-99, TD235
 v___2_n_11_class_3_class_8_ keenan3j.scl | Chain of 11 nearly just 19-tET minor thirds, Dave Keenan, 1-Jul-99
 v___2_n_11_class_3_class_8_ mos11-34.scl | Wilson 11 of 34-tET, G=9, Chain of minor & major thirds with Kleismatic fusion
 v___2_n_11_class_3_class_8_ silver_11.scl | Eleven-tone MOS from 1+sqr(2), 1525.864 cents
 v___2_n_11_class_3_class_8_ silver_11a.scl | Eleven-tone MOS from 317.17 cents
 v___2_n_11_class_4_class_7_ 11-19.scl | 11 out of 19-tET
 v___2_n_12_class_1_class11_ cet99.scl | Scale with 18/17 steps
 v___2_n_12_class_5_class_7_ 12-19.scl | 12 out of 19-tET scale from Mandelbaum's dissertation
 v___2_n_12_class_5_class_7_ 12-22a.scl | 12 out of 22-tET, Pythagorean. Paul Erlich, TL 4-4-2000
 v___2_n_12_class_5_class_7_ 12-31.scl | 12 out of 31-tET, meantone Eb-G#
 v___2_n_12_class_5_class_7_ 12-43.scl | 12 out of 43-tET (1/5-comma meantone)
 v___2_n_12_class_5_class_7_ 12-50.scl | 12 out of 50-tET, meantone Eb-G#
 v___2_n_12_class_5_class_7_ 12-91.scl | 12 out of 91-tET (1/7-comma meantone)
 v___2_n_12_class_5_class_7_ breed.scl | Graham Breed's fourth based 12-tone keyboard scale. Tuning List 23-10-97
 v___2_n_12_class_5_class_7_ chin_lu2.scl | Chinese Lu" (Lushi chunqiu, by Lu Buwei). Mingyue: Music of the billion, p.67
 v___2_n_12_class_5_class_7_ chin_lu4.scl | Chinese Lu" "749-Temperament"
 v___2_n_12_class_5_class_7_ hahn_g.scl | fourth of sqrt(2)-1 octave "recursive" meantone, Paul Hahn
 v___2_n_12_class_5_class_7_ harrison.scl | John Harrison's temperament (1775), almost 3/10-comma
 v___2_n_12_class_5_class_7_ hawkes2.scl | Meantone with fifth tempered 1/6 of 53-tET step by William Hawkes (1808)
 v___2_n_12_class_5_class_7_ ling-lun.scl | Scale of Ling Lun from C
 v___2_n_12_class_5_class_7_ marsh.scl | John Marsh's meantone temperament (1809)
 v___2_n_12_class_5_class_7_ mean10.scl | 3/10-comma meantone scale
 v___2_n_12_class_5_class_7_ mean11.scl | 3/11-comma meantone scale
 v___2_n_12_class_5_class_7_ mean13.scl | 3/13-comma meantone scale
 v___2_n_12_class_5_class_7_ mean14.scl | 3/14-comma meantone scale (Giordano Riccati, 1762)
 v___2_n_12_class_5_class_7_ mean14a.scl | fifth of sqrt(5/2)-1 octave "recursive" meantone, Paul Hahn
 v___2_n_12_class_5_class_7_ mean16.scl | 3/16-comma meantone scale
 v___2_n_12_class_5_class_7_ mean17.scl | 4/17-comma meantone scale, least squares error of 5/4 and 3/2
 v___2_n_12_class_5_class_7_ mean18.scl | 5/18-comma meantone scale (Smith). Low beating minor triad
 v___2_n_12_class_5_class_7_ mean25.scl | 7/25-comma meantone scale, least square weights 3/2:0 5/4:1 6/5:1
 v___2_n_12_class_5_class_7_ mean26.scl | 7/26-comma meantone scale (Woolhouse 1835). Almost equal to meaneb742.scl
 v___2_n_12_class_5_class_7_ mean27.scl | 7/27-comma meantone scale, least square weights 3/2:2 5/4:1 6/5:1
 v___2_n_12_class_5_class_7_ mean29.scl | 7/29-comma meantone scale, least square weights 3/2:4 5/4:1 6/5:1
 v___2_n_12_class_5_class_7_ mean2sev.scl | 2/7-comma meantone scale. Zarlino's temperament (1558). See also meaneb371
 v___2_n_12_class_5_class_7_ mean9.scl | 2/9-comma meantone scale, Lemme Rossi, Sistema musico (1666)
 v___2_n_12_class_5_class_7_ mean94.scl | 4/9-comma meantone scale
 v___2_n_12_class_5_class_7_ meaneb472.scl | Beating of 5/4 = twice 3/2 same. Almost 5/14-comma
 v___2_n_12_class_5_class_7_ meaneb472a.scl | Beating of 5/4 = twice 3/2 opposite. Almost 3/17-comma
 v___2_n_12_class_5_class_7_ meaneb591.scl | Equal beating 4/3 = 5/3 same.
 v___2_n_12_class_5_class_7_ meaneb732.scl | Beating of 3/2 = twice 6/5 same. Almost 4/13-comma
 v___2_n_12_class_5_class_7_ meaneb732a.scl | Beating of 3/2 = twice 6/5 opposite. Almost 1/3 Pyth. comma
 v___2_n_12_class_5_class_7_ meaneb742.scl | Beating of 3/2 = twice 5/4 same.
 v___2_n_12_class_5_class_7_ meaneb742a.scl | Beating of 3/2 = twice 5/4 opposite. Almost 3/13-comma, 3/14 Pyth. comma
 v___2_n_12_class_5_class_7_ meaneb781.scl | Equal beating 3/2 = 8/5 same.
 v___2_n_12_class_5_class_7_ meaneb891.scl | Equal beating 8/5 = 5/3 same. Almost 5/18-comma
 v___2_n_12_class_5_class_7_ meaneb1071.scl | Equal beating 7/4 = 3/2 same.
 v___2_n_12_class_5_class_7_ meaneb1071a.scl | Equal beating 7/4 = 3/2 opposite.
 v___2_n_12_class_5_class_7_ meaneb341.scl | Equal beating 6/5 = 5/4 same. Almost 4/15 Pyth. comma
 v___2_n_12_class_5_class_7_ meaneb371.scl | Equal beating 6/5 = 3/2 same. Practically 2/7-comma (Zarlino)
 v___2_n_12_class_5_class_7_ meaneb371a.scl | Equal beating 6/5 = 3/2 opposite. Almost 2/5-comma
 v___2_n_12_class_5_class_7_ meaneb381.scl | Equal beating 6/5 = 8/5 same. Almost 1/7-comma
 v___2_n_12_class_5_class_7_ meaneb451.scl | Equal beating 5/4 = 4/3 same, 5/24 comma meantone
 v___2_n_12_class_5_class_7_ meaneb471.scl | Equal beating 5/4 = 3/2 same. Almost 5/17-comma
 v___2_n_12_class_5_class_7_ meaneb471a.scl | Equal beating 5/4 = 3/2 opposite. Almost 1/5 Pyth. Gottfried Keller (1707)
 v___2_n_12_class_5_class_7_ meaneight.scl | 1/8 Pyth. comma meantone scale
 v___2_n_12_class_5_class_7_ meanfifth.scl | 1/5-comma meantone scale (Verheijen)
 v___2_n_12_class_5_class_7_ meanfifth2.scl | 1/5-comma meantone by John Holden (1770)
 v___2_n_12_class_5_class_7_ meanharris.scl | 1/10-Harrison's comma mean-tone scale
 v___2_n_12_class_5_class_7_ meanhar2.scl | 1/9-Harrison's comma mean-tone scale
 v___2_n_12_class_5_class_7_ meanhar3.scl | 1/11-Harrison's comma mean-tone scale
 v___2_n_12_class_5_class_7_ meankleis.scl | Mean-tone scale where the kleisma is made away
 v___2_n_12_class_5_class_7_ meanmalc.scl | Meantone approximation to Malcolm's Monochord, 3/16 Pyth. comma
 v___2_n_12_class_5_class_7_ meanpi.scl | Pi-based meantone with Harrison's major third by Erv Wilson
 v___2_n_12_class_5_class_7_ meanpi2.scl | Pi-based meantone by Erv Wilson analogous to 22-tET
 v___2_n_12_class_5_class_7_ meanpkleis.scl | Positive mean-tone scale where the kleisma is made away
 v___2_n_12_class_5_class_7_ meanquar.scl | 1/4-comma meantone scale. Pietro Aaron's temp. (1523). 6/5 beats twice 3/2
 v___2_n_12_class_5_class_7_ meansabat.scl | 1/9-schisma mean-tone scale Sa'bat-Garibaldi's
 v___2_n_12_class_5_class_7_ meanschis.scl | 1/8-schisma mean-tone scale Helmholtz
 v___2_n_12_class_5_class_7_ meanschis7.scl | 1/7-schisma mean-tone scale
 v___2_n_12_class_5_class_7_ meansept.scl | Mean-tone scale with septimal diminished fifth
 v___2_n_12_class_5_class_7_ meansev.scl | 1/7-comma meantone scale
 v___2_n_12_class_5_class_7_ meansixth.scl | 1/6-comma meantone scale (tritonic temperament of Salinas)
 v___2_n_12_class_5_class_7_ meansixthso.scl | 1/6-comma meantone scale with 1/6-comma stretched oct, Dave Keenan TL 13-12-99
 v___2_n_12_class_5_class_7_ meanten.scl | 1/10-comma meantone scale
 v___2_n_12_class_5_class_7_ meanthird.scl | 1/3-comma meantone scale (Salinas)
 v___2_n_12_class_5_class_7_ metamean.scl | Erv Wilson's Meta-Meantone tuning
 v___2_n_12_class_5_class_7_ mos12-17.scl | MOS 12 of 17, generator 7
 v___2_n_12_class_5_class_7_ mos12-22.scl | MOS 12 of 22, contains nearly just, recognizable diatonic, and pentatonic scales
 v___2_n_12_class_5_class_7_ pepper2.scl | Keenan Pepper's "Noble Fifth" with chromatic/diatonic semitone = Phi (12)
 v___2_n_12_class_5_class_7_ preston2.scl | Preston's theoretically correct well temperament
 v___2_n_12_class_5_class_7_ pyth_12.scl | 12-tone Pythagorean scale
 v___2_n_12_class_5_class_7_ sauveur2.scl | Sauveur's Syste^me Chromatique des Musiciens (Memoires 1701), 12 out of 55.
 v___2_n_12_class_5_class_7_ sherwood.scl | Sherwood's improved meantone temperament
 v___2_n_12_class_5_class_7_ silbermann.scl | Gottfried Silbermann's temperament
 v___2_n_12_class_5_class_7_ smith.scl | Robert Smith's Equal Harmony temperament (1749)
 v___2_n_12_class_5_class_7_ smith_mq.scl | Robert Smith approximation of quarter comma meantone fifth
 v___2_n_12_class_5_class_7_ yasser_diat.scl | Yasser's Supra-Diatonic, the flat notes are V,W,X,Y,and Z
 v___2_n_12_class_5_class_7_ zwolle.scl | Henri Arnaut De Zwolle. Pythagorean on G flat.
 v___2_n_13_class_2_class11_ 13-19.scl | 13 out of 19-tET
 v___2_n_13_class_3_class10_ bohlen_mean.scl | 1/3 minor BP diesis (245/243) tempered 7/3 meantone scale
 v___2_n_13_class_3_class10_ bohlen_pyth.scl | Cycle of 13 7/3 BP tenths
 v___2_n_13_class_3_class10_ mos13-22.scl | MOS 13 of 22, contains 5 and 9 tone MOS as well. G=5 or 17
 v___2_n_13_class_4_class_9_ phi_13.scl | Pythagorean scale with Phi as fifth
 v___2_n_13_class_5_class_8_ phi1_13.scl | Pythagorean scale with (Phi + 1) / 2 as fifth
 v___2_n_14_class_3_class11_ 14-19.scl | 14 out of 19-tET
 v___2_n_15_class_2_class13_ mos15-22.scl | MOS 15 in 22, contains 7 and 8 tone MOS as well. G= 3 or 19
 v___2_n_16_class_5_class11_ temp16d3.scl | Cycle of 16 thirds tempered by 1/3 small diesis
 v___2_n_16_class_5_class11_ temp16d4.scl | Cycle of 16 thirds tempered by 1/4 small diesis
 v___2_n_16_class_7_class_9_ temp16l4.scl | Cycle of 16 fifths tempered by 1/4 major limma
 v___2_n_17_class_7_class10_ 17-53.scl | 17 out of 53-tET, Arabic Pythagorean scale
 v___2_n_17_class_7_class10_ arabic.scl | Arabic 17-tone Pythagorean mode, Safi al-Din
 v___2_n_17_class_7_class10_ pyth_17.scl | 17-tone Pythagorean scale
