basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3  4

 [0,1,2,3,5] 	D = 9.7961
 [0,11,13,14,16] 	D = 5.5218
 [0,2,13,15,17] 	D = 5.3911
 [0,1,11,14,16] 	D = 5.1705
 [0,10,11,13,15] 	D = 5.6660
 [0,11,22,25,27] 	D = 2.8539
 [0,1,3,14,17] 	D = 6.0746
 [0,11,14,25,28] 	D = 3.1133
 [0,2,3,13,17] 	D = 6.0737
 [0,1,2,11,16] 	D = 6.2099
 [0,10,13,23,27] 	D = 3.3141
 [0,11,13,22,27] 	D = 3.5713
 [0,3,13,14,17] 	D = 5.3430
 [0,2,11,13,16] 	D = 5.2317
 [0,3,14,25,29] 	D = 3.3823
 [0,2,13,23,28] 	D = 3.6347
 [0,1,10,11,15] 	D = 5.6193
 [0,1,11,22,27] 	D = 3.9217
 [0,9,10,11,14] 	D = 6.1872
 [0,10,21,23,26] 	D = 3.1061
 [0,9,11,22,26] 	D = 3.7512
 [0,10,11,21,26] 	D = 4.0101
 [0,11,21,22,26] 	D = 3.5820
 [0,11,22,33,38] 	D = 2.4577
 [0,1,2,5,15] 	D = 7.1458
 [0,11,13,16,26] 	D = 3.8062
 [0,2,13,17,27] 	D = 3.9996
 [0,1,11,16,26] 	D = 3.8266
 [0,10,11,15,25] 	D = 4.0139
 [0,11,22,27,37] 	D = 2.2077
 [0,1,3,5,14] 	D = 7.1740
 [0,11,14,16,25] 	D = 3.6614
 [0,2,3,5,13] 	D = 7.4485
 [0,1,2,4,11] 	D = 7.7935
 [0,10,13,15,23] 	D = 3.9874
 [0,11,13,15,22] 	D = 4.2853
 [0,3,13,17,26] 	D = 3.7748
 [0,2,11,16,25] 	D = 3.7519
 [0,3,14,17,25] 	D = 3.9645
 [0,2,13,16,23] 	D = 4.1773
 [0,1,10,15,23] 	D = 4.1980
 [0,1,11,15,22] 	D = 4.4088
 [0,9,10,14,23] 	D = 4.2444
 [0,10,21,26,35] 	D = 2.2336
 [0,9,11,14,22] 	D = 4.3584
 [0,10,11,14,21] 	D = 4.6663
 [0,11,21,26,34] 	D = 2.5368
 [0,11,22,26,33] 	D = 2.6380
 [0,1,5,14,15] 	D = 5.8585
 [0,11,16,25,26] 	D = 3.2300
 [0,2,5,13,15] 	D = 5.8103
