"Lower","Upper","Triadic HE","ct","pmax","triad"
880,920,0.803399102190566,4,0.795553592650243,"6/10/17"
310,1200,0.803693751782305,4,0.769155786579984,"5/6/12"
390,160,0.805322902636784,5,0.793108446304707,"8/10/11"
230,210,0.810357478236774,3,0.76120188058878,"7/8/9"
620,320,0.828590599152332,6,0.789480712117905,"7/10/12"
430,1100,0.829433120249617,6,0.810713580995165,"7/9/17"
780,150,0.830388558311117,7,0.80823644771566,"7/11/12"
1020,500,0.831707920832741,4,0.802354114893672,"5/9/12"
620,700,0.836314890739735,6,0.798981978291874,"7/10/15"
240,700,0.841850656888117,5,0.794440234977466,"7/8/12"
200,350,0.848168295932575,4,0.776373886822738,"8/9/11"
1020,1100,0.852916942493279,5,0.779325501545609,"5/9/17"
1020,990,0.853060808429828,6,0.757121800853907,"5/9/16"
70,1060,0.860786855772139,3,0.693194126912078,"16/17/31"
430,350,0.864325883335241,4,0.747200456984068,"7/9/11"
970,780,0.866384071251334,4,0.75126213298551,"4/7/11"
430,500,0.866880575204491,5,0.771102228712876,"7/9/12"
700,350,0.867140236524368,6,0.775324139921458,"6/9/11"
880,700,0.867428789621331,5,0.789174723495119,"6/10/15"
930,140,0.881875777714127,4,0.713012737619841,"7/12/13"
700,1000,0.885274853028065,3,0.71373459951986,"6/9/16"
170,60,0.885602854103622,3,0.725367936806268,"19/21/22"
380,10,0.888012640577306,6,0.774867839204787,"4/5/5"
1020,640,0.888879076769682,4,0.724952935581038,"5/9/13"
500,550,0.89069051944303,5,0.783608307633944,"6/8/11"
440,880,0.896778704756107,5,0.747167160683415,"7/9/15"
70,840,0.899995192484156,4,0.740080349695166,"17/18/29"
1140,820,0.902256519292332,3,0.683375047254212,"11/21/34"
250,500,0.908172127537649,8,0.787200986957337,"13/15/20"
890,450,0.910975954424184,4,0.764510214797415,"6/10/13"
70,900,0.911377276547677,4,0.727094499051358,"17/18/30"
390,1010,0.911796908079022,6,0.751649473112281,"4/5/9"
70,1120,0.91241166474822,3,0.669462411065462,"16/17/32"
270,700,0.914089715023426,6,0.767408771133218,"12/14/21"
180,450,0.914092482370522,7,0.767874536827174,"9/10/13"
270,1200,0.922368867433996,4,0.702088534915386,"6/7/14"
230,840,0.922740364401361,5,0.723296071763715,"7/8/13"
350,150,0.925878584792704,6,0.747722886352092,"9/11/12"
10,880,0.927726193554694,7,0.781755263020651,"3/3/5"
610,820,0.927977280199541,4,0.746380391797979,"7/10/16"
30,870,0.928986353767161,7,0.781650605024527,"3/3/5"
810,550,0.929244024079197,5,0.738479602080938,"5/8/11"
60,250,0.929263316944544,5,0.733212357760317,"19/20/23"
70,960,0.929370106669843,6,0.719607733355762,"17/18/31"
200,880,0.931120728889131,4,0.682437671373297,"8/9/15"
70,1010,0.931301249718811,3,0.639414616987475,"17/18/32"
1050,290,0.936557986807241,4,0.7112851402516,"6/11/13"
700,1100,0.944076218659823,3,0.691761313621216,"6/9/17"
1140,870,0.944766067656335,5,0.722622940893034,"11/21/35"
200,640,0.948262291758922,7,0.75773089556934,"8/9/13"
500,840,0.948296664163681,6,0.772139967008099,"6/8/13"
1050,650,0.951936521831244,4,0.689206100753436,"6/11/16"
160,650,0.953802318421191,5,0.667578267662261,"10/11/16"
970,1140,0.9562177464515,4,0.689187781619676,"8/14/27"
1200,500,0.956729569868103,5,0.743303999706217,"3/6/8"
440,420,0.962392592335534,4,0.612522382327183,"14/18/23"
620,450,0.962913157661695,3,0.689071086773825,"7/10/13"
550,150,0.963613998363503,5,0.733583762094073,"8/11/12"
700,640,0.966415687560751,6,0.722270512612195,"6/9/13"
70,550,0.967689394710284,5,0.690069439875155,"18/19/26"
1050,420,0.968691511271201,6,0.761167984675445,"6/11/14"
