*no_scale_specified
5 2 5  v___2_n__3_class_1_class_2_ Raga Sarvasri, Warao tritonic: South America
1 2 2 2 1 2 2  v___2_n__7_class_3_class_4_ G.Dorian, M.Phrygian, G.M.Hypoaeolian, Bhairavi That, Mela Hanumatodi, Raga Asavari (Asaveri), Raga Bilashkhani Todi, In: Japan, Maqam Kurd, Ousak: Greece, Major inverse
2 2 2 1 2 2 1  v___2_n__7_class_3_class_4_ G.Hypolydian, M.Lydian, Kalyan That (Yaman), Mela Mecakalyani, Raga Shuddh Kalyan, Ping, Kung: China
2 2 1 2 2 1 2  v___2_n__7_class_3_class_4_ G.Hypophrygian, G.Ionian (Iastian), M.Mixolydian, G.M.Hypoionian, Khamaj That, Mela Harikambhoji, Mischung 3, Ching, Shang: China
2 1 2 2 1 2 2  v___2_n__7_class_3_class_4_ G.M.Hypodorian, G.M.Aeolian, G.Hyperphrygian, Natural Minor, Asavari That, Mela Natabhairavi, Raga Jaunpuri, Raga Adana, Se, Chiao: China, Peruvian minor, Geez, Ezel: Ethiopian
2 2 3 2 2 2 3  v___2_n__7_class_3_class_4_ Pseudo Pelog
3 3 1 3 3 3 1  v___2_n__7_class_3_class_4_ Seventeen-tone Major
3 1 3 3 1 3 3  v___2_n__7_class_3_class_4_ Seventeen-tone Natural Minor
3 3 2 3 3 3 2  v___2_n__7_class_3_class_4_ Nineteen-tone Major
3 2 3 3 2 3 3  v___2_n__7_class_3_class_4_ Nineteen-tone Natural Minor
4 4 1 4 4 4 1  v___2_n__7_class_3_class_4_ Twenty-two tone Major
4 1 4 4 1 4 4  v___2_n__7_class_3_class_4_ Twenty-two tone Minor
4 4 3 4 4 4 3  v___2_n__7_class_3_class_4_ Twenty-six tone Major
4 3 4 4 3 4 4  v___2_n__7_class_3_class_4_ Twenty-six tone Natural Minor
5 5 2 5 5 5 2  v___2_n__7_class_3_class_4_ Twenty-nine tone Major
5 2 5 5 2 5 5  v___2_n__7_class_3_class_4_ Twenty-nine tone Minor
5 5 3 5 5 5 3  v___2_n__7_class_3_class_4_ Thirty-one tone Major, Intense Diatonic Lydian
5 3 5 5 3 5 5  v___2_n__7_class_3_class_4_ Thirty-one tone Natural Minor, Intense Diatonic Hypodorian
3 5 5 3 5 5 5  v___2_n__7_class_3_class_4_ Intense Diatonic Mixolydian
5 3 5 5 5 3 5  v___2_n__7_class_3_class_4_ Intense Diatonic Phrygian
3 5 5 5 3 5 5  v___2_n__7_class_3_class_4_ Intense Diatonic Dorian
5 5 5 3 5 5 3  v___2_n__7_class_3_class_4_ Intense Diatonic Hypolydian
5 5 3 5 5 3 5  v___2_n__7_class_3_class_4_ Intense Diatonic Hypophrygian
7 7 3 7 7 7 3  v___2_n__7_class_3_class_4_ Forty-one tone Major
7 3 7 7 3 7 7  v___2_n__7_class_3_class_4_ Forty-one tone Minor
7 7 4 7 7 7 4  v___2_n__7_class_3_class_4_ Forty-three tone Major
7 4 7 7 4 7 7  v___2_n__7_class_3_class_4_ Forty-three tone Natural Minor
7 7 5 7 7 7 5  v___2_n__7_class_3_class_4_ Forty-five tone Major
7 5 7 7 5 7 7  v___2_n__7_class_3_class_4_ Forty-five tone Minor
8 8 5 8 8 8 5  v___2_n__7_class_3_class_4_ Fifty tone Major
8 5 8 8 5 8 8  v___2_n__7_class_3_class_4_ Fifty tone Natural Minor
9 4 9 9 4 9 9  v___2_n__7_class_3_class_4_ Maqam Nahawand, Fifty-three tone Minor
4 9 9 9 4 9 9  v___2_n__7_class_3_class_4_ Maqam Ferahnuma, Askefza
9 9 4 9 9 9 4  v___2_n__7_class_3_class_4_ Maqam Cargah II, Fifty-three tone Major
9 9 5 9 9 9 5  v___2_n__7_class_3_class_4_ Fifty-five tone Major
9 5 9 9 5 9 9  v___2_n__7_class_3_class_4_ Fifty-five tone Natural Minor
1 2 1 2 2 1 2 2  v___2_n__8_class_3_class_5_ Blackwood Subminor
1 2 2 1 2 1 2 2  v___2_n__8_class_3_class_5_ Chalmers Major
2 1 2 2 1 2 2 1  v___2_n__8_class_3_class_5_ Chalmers Minor
2 1 2 2 1 2 1 2  v___2_n__8_class_3_class_5_ Chalmers Triadic Minor
5 5 5 5 8 5 5 5 5  v___2_n__9_class_1_class_8_ Quasi-equal Enneatonic
2 3 2 3 2 3 2 3 2  v___2_n__9_class_2_class_7_ Rezsutek's Percussion scale
4 1 4 1 4 1 4 1 4  v___2_n__9_class_2_class_7_ de Vries 9-tone
2 2 2 1 2 2 2 2 1  v___2_n__9_class_4_class_5_ Goldsmith
2 2 1 2 2 2 2 1 2  v___2_n__9_class_4_class_5_ Wilson
2 3 2 2 2 3 2 2 2  v___2_n__9_class_4_class_5_ Balzano Nine-tone
2 2 2 3 2 2 2 3 2  v___2_n__9_class_4_class_5_ Balzano Nine-tone inverse
3 3 3 2 3 3 3 3 3 3  v___2_n_10_class_1_class_9_ Keenan Decatonic
1 1 2 1 1 2 1 1 1 2  v___2_n_10_class_3_class_7_ Rapoport Minor
2 1 1 1 2 1 1 2 1 1  v___2_n_10_class_3_class_7_ Rapoport Major
4 1 4 4 4 1 4 4 1 4  v___2_n_10_class_3_class_7_ Breed 10-tone
5 1 5 1 5 1 5 1 5 1 1  v___2_n_11_class_2_class_9_ de Vries 11-tone
2 5 2 5 2 2 5 2 2 5 2  v___2_n_11_class_3_class_8_ Wilson 11-tone
2 2 2 2 1 2 2 2 2 2 1  v___2_n_11_class_5_class_6_ Balzano Eleven-tone
1 2 2 2 2 2 1 2 2 2 2  v___2_n_11_class_5_class_6_ Balzano Eleven-tone inverse
2 2 2 2 1 2 2 2 2 1 2  v___2_n_11_class_5_class_6_ Zweifel Major
2 1 2 2 2 2 2 1 2 2 2  v___2_n_11_class_5_class_6_ Zweifel Natural Minor
2 1 1 2 1 2 1 2 1 1 2 1  v___2_n_12_class_5_class_7_ Twelve-tone Chromatic (2/11-comma positive)
2 1 2 1 2 2 1 2 1 2 1 2  v___2_n_12_class_5_class_7_ Yasser's Supradiatonic
1 2 2 1 2 1 2 1 2 2 1 2  v___2_n_12_class_5_class_7_ Meantone Chromatic (1/3-comma)
2 1 2 1 2 1 2 2 1 2 1 2  v___2_n_12_class_5_class_7_ Genus diatonico-chromaticum
